Date,Total,Blekinge län,Dalarnas län,Gotlands län,Gävleborgs län,Hallands län,Jämtlands län,Jönköpings län,Kalmar län,Kronobergs län,Norrbottens län,Skåne län,Stockholms län,Södermanlands län,Uppsala län,Värmlands län,Västerbottens län,Västernorrlands län,Västmanlands län,Västra Götalands län,Örebro län,Östergötlands län
2020-01-31,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-27,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0
2020-02-28,4,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2020-02-29,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-03-02,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-03,15,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,0,3,0,0
2020-03-04,22,0,0,0,0,0,0,0,0,0,0,1,16,0,0,2,0,0,0,2,1,0
2020-03-05,42,0,0,0,1,0,0,0,0,0,0,7,28,0,2,3,0,0,0,1,0,0
2020-03-06,43,0,0,0,1,0,0,5,0,0,0,5,21,0,1,8,0,0,0,2,0,0
2020-03-07,24,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0
2020-03-08,42,0,0,0,0,0,0,0,0,0,0,5,14,0,1,7,0,0,0,12,3,0
2020-03-09,57,0,0,0,0,5,0,2,0,0,1,0,32,1,2,1,5,0,0,7,0,1
2020-03-10,96,0,0,0,0,4,1,0,2,1,1,3,60,1,0,1,0,6,0,15,1,0
2020-03-11,144,1,1,0,1,7,4,3,0,7,3,35,26,5,3,2,3,0,4,37,2,0
2020-03-12,187,5,3,2,2,15,3,13,2,2,1,38,34,4,14,3,0,3,1,31,1,10
2020-03-13,142,2,0,0,0,9,3,7,1,2,0,33,41,6,0,3,1,2,3,18,5,6
2020-03-14,141,0,0,0,1,0,3,5,0,0,2,44,33,8,11,0,2,0,6,21,0,5
2020-03-15,62,0,0,0,1,0,2,0,2,1,0,22,18,3,2,0,2,0,0,4,0,5
2020-03-16,89,2,2,0,1,3,5,4,0,3,0,9,18,5,8,1,0,1,0,17,2,8
2020-03-17,76,1,0,0,1,2,1,1,0,1,2,3,33,0,0,3,5,1,2,3,10,7
2020-03-18,104,0,4,2,4,4,2,1,1,1,0,0,35,4,6,0,1,0,2,20,4,13
2020-03-19,144,0,3,0,2,1,3,2,1,0,2,7,56,1,15,2,4,1,1,8,2,33
2020-03-20,212,1,2,1,2,4,4,2,1,0,5,4,105,5,6,0,5,1,2,21,8,33
